symbol,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,lot_size,pnl_points,pnl_usd,equity
NAS100.,long,2025-07-16 18:15:00+02:00,22912.7,2025-07-16 18:30:00+02:00,22887.994261191325,SL,0.1,-2470.6,-2.47,129.53
DJ30.,short,2025-07-16 20:30:00+02:00,43993.45,2025-07-16 20:30:00+02:00,43803.68113832812,SL,0.1,18976.9,18.98,148.51
NAS100.,short,2025-07-16 20:45:00+02:00,22779.95,2025-07-16 20:45:00+02:00,22829.17779334735,SL,0.1,-4922.8,-4.92,143.59
SP500.,short,2025-07-16 20:45:00+02:00,6227.5,2025-07-16 20:45:00+02:00,6237.796232103148,SL,0.3,-1029.6,-3.09,140.5
NAS100.,long,2025-07-17 18:00:00+02:00,22991.76,2025-07-17 18:15:00+02:00,22968.03463183911,SL,0.1,-2372.5,-2.37,138.13
DJ30.,long,2025-07-17 18:15:00+02:00,44280.0,2025-07-17 18:15:00+02:00,44236.71964544854,SL,0.1,-4328.0,-4.33,133.8
SP500.,long,2025-07-17 18:00:00+02:00,6276.45,2025-07-17 18:15:00+02:00,6270.801598341498,SL,0.6,-564.8,-3.39,130.41
NAS100.,long,2025-07-17 19:00:00+02:00,22995.01,2025-07-17 19:15:00+02:00,22964.035131389443,SL,0.1,-3097.5,-3.1,127.31
DJ30.,long,2025-07-17 19:00:00+02:00,44411.5,2025-07-17 19:15:00+02:00,44345.507110821025,SL,0.1,-6599.3,-6.6,120.71
SP500.,long,2025-07-17 18:45:00+02:00,6279.2,2025-07-17 19:15:00+02:00,6272.337112447621,SL,0.5,-686.3,-3.43,117.28
NAS100.,long,2025-07-17 19:45:00+02:00,23017.51,2025-07-17 20:00:00+02:00,23075.706714819622,SL,0.1,5819.7,5.82,123.1
NAS100.,long,2025-07-18 18:30:00+02:00,23148.61,2025-07-18 18:30:00+02:00,23129.64372964933,SL,0.2,-1896.6,-3.79,119.31
SP500.,short,2025-07-18 19:45:00+02:00,6296.3,2025-07-18 20:45:00+02:00,6302.7819217515935,SL,0.5,-648.2,-3.24,116.07
NAS100.,short,2025-07-18 19:15:00+02:00,23077.36,2025-07-21 04:00:00+02:00,23105.60349406795,SL,0.1,-2824.3,-2.82,113.25
NAS100.,short,2025-07-21 17:45:00+02:00,23122.95,2025-07-21 17:45:00+02:00,23098.11967648705,SL,0.2,2483.0,4.97,118.22
DJ30.,short,2025-07-21 18:15:00+02:00,44419.45,2025-07-21 18:30:00+02:00,44444.61615027667,SL,0.1,-2516.6,-2.52,115.7
SP500.,short,2025-07-21 18:00:00+02:00,6306.95,2025-07-21 18:30:00+02:00,6310.238290316579,SL,0.9,-328.8,-2.96,112.74
NAS100.,long,2025-07-21 18:45:00+02:00,23194.7,2025-07-21 18:45:00+02:00,23241.96079769488,SL,0.1,4726.1,4.73,117.47
DJ30.,long,2025-07-21 19:00:00+02:00,44508.45,2025-07-21 19:00:00+02:00,44466.87336656055,SL,0.1,-4157.7,-4.16,113.31
DJ30.,long,2025-07-21 19:30:00+02:00,44526.45,2025-07-21 22:00:00+02:00,44612.05367132394,SL,0.1,8560.4,8.56,121.87
DJ30.,long,2025-07-22 18:45:00+02:00,44460.51,2025-07-22 18:45:00+02:00,44410.905829142044,SL,0.1,-4960.4,-4.96,116.91
NAS100.,short,2025-07-22 19:15:00+02:00,23041.24,2025-07-22 19:30:00+02:00,23072.477709760973,SL,0.1,-3123.8,-3.12,113.79
NAS100.,short,2025-07-23 18:00:00+02:00,23098.59,2025-07-23 18:15:00+02:00,23118.017883155975,SL,0.1,-1942.8,-1.94,111.85
NAS100.,short,2025-07-23 18:45:00+02:00,23060.94,2025-07-23 20:45:00+02:00,23087.650594676994,SL,0.1,-2671.1,-2.67,109.18
SP500.,short,2025-07-23 18:45:00+02:00,6330.85,2025-07-23 20:45:00+02:00,6336.002741485663,SL,0.5,-515.3,-2.58,106.6
NAS100.,short,2025-07-24 17:45:00+02:00,23208.64,2025-07-24 18:15:00+02:00,23227.60924475164,SL,0.1,-1896.9,-1.9,104.7
SP500.,short,2025-07-24 17:45:00+02:00,6362.05,2025-07-24 18:15:00+02:00,6366.349058842932,SL,0.6,-429.9,-2.58,102.12
NAS100.,short,2025-07-24 19:15:00+02:00,23181.14,2025-07-24 19:30:00+02:00,23214.09437266691,SL,0.1,-3295.4,-3.3,98.82
NAS100.,short,2025-07-25 18:15:00+02:00,23228.94,2025-07-25 18:30:00+02:00,23245.650334586782,SL,0.1,-1671.0,-1.67,97.15
DJ30.,short,2025-07-25 19:00:00+02:00,44736.51,2025-07-25 19:00:00+02:00,44663.28911526629,SL,0.1,7322.1,7.32,104.47
NAS100.,long,2025-07-25 19:15:00+02:00,23270.69,2025-07-25 21:15:00+02:00,23330.575801581286,SL,0.1,5988.6,5.99,110.46
SP500.,long,2025-07-25 19:45:00+02:00,6381.57,2025-07-25 21:15:00+02:00,6389.733967100736,SL,0.5,816.4,4.08,114.54
NAS100.,short,2025-07-28 18:15:00+02:00,23355.2,2025-07-28 18:30:00+02:00,23374.762473768747,SL,0.1,-1956.2,-1.96,112.58
NAS100.,long,2025-07-29 18:45:00+02:00,23498.09,2025-07-29 18:45:00+02:00,23478.183630832045,SL,0.1,-1990.6,-1.99,110.59
DJ30.,short,2025-07-29 18:45:00+02:00,44833.51,2025-07-29 19:30:00+02:00,44745.42607747477,SL,0.1,8808.4,8.81,119.4
NAS100.,short,2025-07-29 19:15:00+02:00,23449.09,2025-07-29 19:45:00+02:00,23400.395444846035,SL,0.1,4869.5,4.87,124.27
SP500.,short,2025-07-29 19:00:00+02:00,6403.43,2025-07-29 19:45:00+02:00,6390.920398783704,SL,0.6,1251.0,7.51,131.78
DJ30.,long,2025-07-30 19:30:00+02:00,44733.51,2025-07-30 19:45:00+02:00,44679.52924718135,SL,0.1,-5398.1,-5.4,126.38
SP500.,long,2025-07-30 19:45:00+02:00,6389.83,2025-07-30 20:00:00+02:00,6383.833667183214,SL,0.5,-599.6,-3.0,123.38
DJ30.,short,2025-07-30 20:15:00+02:00,44587.51,2025-07-30 20:45:00+02:00,44643.102697804665,SL,0.1,-5559.3,-5.56,117.82
NAS100.,short,2025-07-31 18:30:00+02:00,23629.74,2025-07-31 18:30:00+02:00,23517.496811468594,TP,0.1,11224.3,11.22,129.04
SP500.,short,2025-07-31 18:30:00+02:00,6418.88,2025-07-31 18:30:00+02:00,6404.178474209548,SL,0.6,1470.2,8.82,137.86
NAS100.,short,2025-07-31 19:00:00+02:00,23555.74,2025-07-31 19:45:00+02:00,23436.467800992352,SL,0.1,11927.2,11.93,149.79
DJ30.,short,2025-07-31 20:00:00+02:00,44447.51,2025-07-31 21:15:00+02:00,44521.72190237955,SL,0.1,-7421.2,-7.42,142.37
NAS100.,short,2025-08-05 19:15:00+02:00,23212.05,2025-08-05 19:30:00+02:00,23092.622664156435,SL,0.1,11942.7,11.94,154.31
DJ30.,short,2025-08-05 19:15:00+02:00,44098.55,2025-08-05 19:45:00+02:00,43964.38408041173,SL,0.1,13416.6,13.42,167.73
NAS100.,long,2025-08-06 18:45:00+02:00,23105.0,2025-08-06 19:00:00+02:00,23172.639834775066,SL,0.1,6764.0,6.76,174.49
DJ30.,short,2025-08-06 18:45:00+02:00,44135.55,2025-08-06 19:00:00+02:00,44196.26108226131,SL,0.1,-6071.1,-6.07,168.42
NAS100.,long,2025-08-06 19:45:00+02:00,23156.5,2025-08-06 20:45:00+02:00,23256.818830591696,SL,0.1,10031.9,10.03,178.45
SP500.,long,2025-08-06 20:00:00+02:00,6331.48,2025-08-06 23:30:00+02:00,6349.985212426994,SL,0.4,1850.5,7.4,185.85
SP500.,short,2025-08-07 19:15:00+02:00,6369.13,2025-08-07 19:45:00+02:00,6350.053653753595,SL,0.5,1907.6,9.54,195.39
NAS100.,short,2025-08-07 20:00:00+02:00,23443.4,2025-08-07 21:30:00+02:00,23332.968604491038,SL,0.1,11043.1,11.04,206.43
NAS100.,long,2025-08-08 18:45:00+02:00,23510.7,2025-08-08 19:00:00+02:00,23572.393883814297,SL,0.2,6169.4,12.34,218.77
DJ30.,long,2025-08-08 19:00:00+02:00,44153.55,2025-08-08 19:00:00+02:00,44267.43045708676,SL,0.1,11388.0,11.39,230.16
DJ30.,long,2025-08-08 19:30:00+02:00,44205.55,2025-08-08 19:45:00+02:00,44146.08312815896,SL,0.1,-5946.7,-5.95,224.21
DJ30.,short,2025-08-11 18:30:00+02:00,44237.45,2025-08-11 18:30:00+02:00,44266.35118818377,SL,0.2,-2890.1,-5.78,218.43
NAS100.,long,2025-08-11 19:00:00+02:00,23657.05,2025-08-11 20:00:00+02:00,23630.049149900628,SL,0.2,-2700.1,-5.4,213.03
SP500.,short,2025-08-11 19:30:00+02:00,6394.1,2025-08-11 20:45:00+02:00,6399.860379914269,SL,0.9,-576.0,-5.18,207.85
NAS100.,short,2025-08-13 19:30:00+02:00,23875.61,2025-08-13 20:15:00+02:00,23823.373352908504,SL,0.2,5223.7,10.45,218.3
NAS100.,long,2025-08-14 17:15:00+02:00,23876.16,2025-08-14 17:15:00+02:00,23860.87240868682,SL,0.4,-1528.8,-6.12,212.18
NAS100.,short,2025-08-15 18:45:00+02:00,23773.86,2025-08-15 18:45:00+02:00,23703.037188061226,SL,0.2,7082.3,14.16,226.34
SP500.,short,2025-08-15 18:45:00+02:00,6471.07,2025-08-15 18:45:00+02:00,6458.023005262798,SL,1.0,1304.7,13.05,239.39
DJ30.,short,2025-08-15 18:45:00+02:00,45129.42,2025-08-15 19:00:00+02:00,44994.352022422754,SL,0.1,13506.8,13.51,252.9
SP500.,short,2025-08-15 19:15:00+02:00,6463.19,2025-08-15 20:30:00+02:00,6446.6852698439425,SL,0.9,1650.5,14.85,267.75
NAS100.,short,2025-08-15 20:00:00+02:00,23721.61,2025-08-15 23:00:00+02:00,23763.498582895354,SL,0.2,-4188.9,-8.38,259.37
NAS100.,short,2025-08-19 18:00:00+02:00,23676.0,2025-08-19 18:30:00+02:00,23590.96316421443,TP,0.3,8503.7,25.51,284.88
SP500.,long,2025-08-19 19:15:00+02:00,6457.67,2025-08-19 19:15:00+02:00,6451.260335746653,SL,1.1,-641.0,-7.05,277.83
SP500.,short,2025-08-19 19:45:00+02:00,6442.47,2025-08-19 20:00:00+02:00,6427.013331066636,SL,1.0,1545.7,15.46,293.29
DJ30.,long,2025-08-20 17:15:00+02:00,44946.45,2025-08-20 18:30:00+02:00,45056.672512740755,SL,0.2,11022.3,22.04,315.33
NAS100.,short,2025-08-20 18:45:00+02:00,23260.2,2025-08-20 18:45:00+02:00,23116.597725804506,TP,0.2,14360.2,28.72,344.05
SP500.,short,2025-08-20 18:45:00+02:00,6400.1,2025-08-20 18:45:00+02:00,6374.630031862345,TP,1.4,2547.0,35.66,379.71
