symbol,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,lot_size,pnl_points,pnl_usd,equity
NAS100.,long,2025-07-16 18:15:00+02:00,22912.7,2025-07-16 18:30:00+02:00,22887.994220787987,SL,0.1,-2470.6,-2.47,129.53
NAS100.,short,2025-07-16 20:45:00+02:00,22779.95,2025-07-16 20:45:00+02:00,22829.1798425222,SL,0.1,-4923.0,-4.92,124.61
DJ30.,short,2025-07-16 20:30:00+02:00,43993.45,2025-07-16 20:45:00+02:00,43818.29911254612,SL,0.1,17515.1,17.52,142.13
SP500.,short,2025-07-16 20:45:00+02:00,6227.5,2025-07-16 20:45:00+02:00,6237.796440994564,SL,0.3,-1029.6,-3.09,139.04
NAS100.,long,2025-07-17 18:00:00+02:00,22991.76,2025-07-17 18:15:00+02:00,22968.03463179151,SL,0.1,-2372.5,-2.37,136.67
DJ30.,long,2025-07-17 18:15:00+02:00,44280.0,2025-07-17 18:15:00+02:00,44236.719645368255,SL,0.1,-4328.0,-4.33,132.34
SP500.,long,2025-07-17 18:00:00+02:00,6276.45,2025-07-17 18:15:00+02:00,6270.801598331662,SL,0.5,-564.8,-2.82,129.52
NAS100.,long,2025-07-17 19:00:00+02:00,22995.01,2025-07-17 19:15:00+02:00,22964.035131354052,SL,0.1,-3097.5,-3.1,126.42
DJ30.,long,2025-07-17 19:00:00+02:00,44411.5,2025-07-17 19:15:00+02:00,44345.507036722884,SL,0.1,-6599.3,-6.6,119.82
SP500.,long,2025-07-17 18:45:00+02:00,6279.2,2025-07-17 19:15:00+02:00,6272.337112439745,SL,0.4,-686.3,-2.75,117.07
NAS100.,long,2025-07-17 19:45:00+02:00,23017.51,2025-07-17 20:15:00+02:00,23068.93007221243,SL,0.1,5142.0,5.14,122.21
NAS100.,long,2025-07-18 18:30:00+02:00,23148.61,2025-07-18 18:30:00+02:00,23129.643729649288,SL,0.1,-1896.6,-1.9,120.31
NAS100.,short,2025-07-18 19:15:00+02:00,23077.36,2025-07-18 19:30:00+02:00,23049.55609644161,SL,0.1,2780.4,2.78,123.09
NAS100.,short,2025-07-18 20:00:00+02:00,23055.11,2025-07-18 20:30:00+02:00,23083.35349406935,SL,0.1,-2824.3,-2.82,120.27
SP500.,short,2025-07-18 19:45:00+02:00,6296.3,2025-07-18 20:45:00+02:00,6302.781921751601,SL,0.4,-648.2,-2.59,117.68
NAS100.,short,2025-07-21 17:45:00+02:00,23122.95,2025-07-21 18:00:00+02:00,23080.42742634712,TP,0.2,4252.3,8.5,126.18
DJ30.,short,2025-07-21 18:15:00+02:00,44419.45,2025-07-21 18:30:00+02:00,44444.61615027667,SL,0.1,-2516.6,-2.52,123.66
SP500.,short,2025-07-21 18:00:00+02:00,6306.95,2025-07-21 18:30:00+02:00,6310.238290316579,SL,0.8,-328.8,-2.63,121.03
NAS100.,long,2025-07-21 18:45:00+02:00,23194.7,2025-07-21 19:00:00+02:00,23236.96619654232,SL,0.1,4226.6,4.23,125.26
DJ30.,long,2025-07-21 19:00:00+02:00,44508.45,2025-07-21 19:00:00+02:00,44466.87336656055,SL,0.1,-4157.7,-4.16,121.1
DJ30.,long,2025-07-21 19:30:00+02:00,44526.45,2025-07-21 21:00:00+02:00,44595.53050698592,SL,0.1,6908.1,6.91,128.01
DJ30.,long,2025-07-22 18:45:00+02:00,44460.51,2025-07-22 18:45:00+02:00,44410.905829142044,SL,0.1,-4960.4,-4.96,123.05
NAS100.,short,2025-07-22 19:15:00+02:00,23041.24,2025-07-22 19:30:00+02:00,23072.477709760973,SL,0.1,-3123.8,-3.12,119.93
